name,x0,x1,y0,y1,z0,z1,N
vert_-2D,40,40,200,200,0,60,100
vert_+0D,80,80,200,200,0,60,100
vert_+1D,100,100,200,200,0,60,100
vert_+2D,120,120,200,200,0,60,100
vert_+3D,140,140,200,200,0,60,100
Vert_+4D,160,160,200,200,0,60,100
vert_+5D,180,180,200,200,0,60,100
cross_-2D,40,40,0,400,30,30,100
cross_+0D,80,80,0,400,30,30,100
cross_+1D,100,100,0,400,30,30,100
cross_+2D,120,120,0,400,30,30,100
cross_+3D,140,140,0,400,30,30,100
cross_+4D,160,160,0,400,30,30,100
cross_+5D,180,180,0,400,30,30,100
